pose,index,file,points,x_min,x_max,y_min,y_max,range_med
pose_01,idx=000,file=cloud_1782443187968351547.pcd,points=504,x_min=-1.747,x_max=2.451,y_min=-2.388,y_max=4.214,range_med=1.375
pose_01,idx=036,file=cloud_1782443191668334581.pcd,points=502,x_min=-1.743,x_max=2.447,y_min=-2.391,y_max=4.213,range_med=1.367
pose_01,idx=072,file=cloud_1782443195268377135.pcd,points=502,x_min=-1.758,x_max=2.457,y_min=-2.390,y_max=4.212,range_med=1.342
pose_01,idx=108,file=cloud_1782443198868414892.pcd,points=501,x_min=-1.766,x_max=2.452,y_min=-2.388,y_max=4.211,range_med=1.375
pose_01,idx=144,file=cloud_1782443202468362705.pcd,points=503,x_min=-1.766,x_max=2.448,y_min=-2.399,y_max=4.214,range_med=1.358
pose_02,idx=000,file=cloud_1782443455168319072.pcd,points=502,x_min=-1.058,x_max=2.848,y_min=-1.480,y_max=4.241,range_med=1.302
pose_02,idx=032,file=cloud_1782443458368411145.pcd,points=503,x_min=-1.030,x_max=2.848,y_min=-1.494,y_max=4.243,range_med=1.282
pose_02,idx=064,file=cloud_1782443461768365402.pcd,points=502,x_min=-1.038,x_max=2.843,y_min=-1.467,y_max=4.244,range_med=1.279
pose_02,idx=097,file=cloud_1782443465068350067.pcd,points=502,x_min=-1.039,x_max=2.848,y_min=-2.344,y_max=4.236,range_med=1.290
pose_02,idx=129,file=cloud_1782443468268318602.pcd,points=501,x_min=-1.037,x_max=2.856,y_min=-2.339,y_max=4.242,range_med=1.297
pose_03,idx=000,file=cloud_1782443585168333773.pcd,points=505,x_min=-0.192,x_max=3.237,y_min=-4.921,y_max=4.239,range_med=0.567
pose_03,idx=058,file=cloud_1782443590968381917.pcd,points=502,x_min=-0.196,x_max=3.236,y_min=-4.932,y_max=4.239,range_med=0.571
pose_03,idx=115,file=cloud_1782443596668314377.pcd,points=503,x_min=-0.198,x_max=3.231,y_min=-4.928,y_max=4.238,range_med=0.571
pose_03,idx=172,file=cloud_1782443602568251725.pcd,points=503,x_min=-0.193,x_max=3.235,y_min=-4.924,y_max=4.240,range_med=0.573
pose_03,idx=230,file=cloud_1782443608368252277.pcd,points=501,x_min=-0.193,x_max=3.238,y_min=-4.938,y_max=4.242,range_med=0.575
pose_04,idx=000,file=cloud_1782443727468268836.pcd,points=502,x_min=-2.323,x_max=2.575,y_min=-5.542,y_max=3.005,range_med=1.501
pose_04,idx=040,file=cloud_1782443731468419130.pcd,points=501,x_min=-2.346,x_max=2.587,y_min=-5.544,y_max=2.986,range_med=1.498
pose_04,idx=080,file=cloud_1782443735468264054.pcd,points=501,x_min=-2.340,x_max=2.594,y_min=-5.530,y_max=2.991,range_med=1.475
pose_04,idx=121,file=cloud_1782443739568267977.pcd,points=502,x_min=-2.311,x_max=2.593,y_min=-5.526,y_max=3.015,range_med=1.496
pose_04,idx=161,file=cloud_1782443743768233919.pcd,points=501,x_min=-2.344,x_max=2.580,y_min=-5.525,y_max=2.990,range_med=1.484
pose_05,idx=000,file=cloud_1782443801168292144.pcd,points=502,x_min=-6.673,x_max=4.153,y_min=-1.792,y_max=4.508,range_med=1.214
pose_05,idx=033,file=cloud_1782443804468246698.pcd,points=502,x_min=-6.684,x_max=4.150,y_min=-1.799,y_max=4.512,range_med=1.214
pose_05,idx=066,file=cloud_1782443807768260214.pcd,points=501,x_min=-6.668,x_max=4.167,y_min=-1.801,y_max=4.496,range_med=1.179
pose_05,idx=099,file=cloud_1782443811068242453.pcd,points=503,x_min=-6.685,x_max=4.178,y_min=-1.794,y_max=4.499,range_med=1.192
pose_05,idx=132,file=cloud_1782443814468329266.pcd,points=501,x_min=-6.681,x_max=4.173,y_min=-1.790,y_max=4.505,range_med=1.207
pose_06,idx=000,file=cloud_1782443887768625148.pcd,points=502,x_min=-1.640,x_max=2.975,y_min=-5.530,y_max=3.520,range_med=1.308
pose_06,idx=036,file=cloud_1782443891368260294.pcd,points=502,x_min=-1.665,x_max=2.963,y_min=-5.529,y_max=3.499,range_med=1.332
pose_06,idx=072,file=cloud_1782443894968225273.pcd,points=502,x_min=-1.641,x_max=2.979,y_min=-2.097,y_max=3.512,range_med=1.317
pose_06,idx=108,file=cloud_1782443898668227419.pcd,points=502,x_min=-1.663,x_max=2.968,y_min=-2.094,y_max=3.500,range_med=1.360
pose_06,idx=144,file=cloud_1782443902268301121.pcd,points=502,x_min=-1.677,x_max=2.975,y_min=-2.098,y_max=3.509,range_med=1.357
pose_07,idx=000,file=cloud_1782443964868246454.pcd,points=506,x_min=-5.066,x_max=3.401,y_min=-1.646,y_max=4.586,range_med=1.076
pose_07,idx=044,file=cloud_1782443969268284877.pcd,points=500,x_min=-5.061,x_max=3.365,y_min=-1.631,y_max=4.577,range_med=1.120
pose_07,idx=089,file=cloud_1782443973868482337.pcd,points=501,x_min=-5.058,x_max=3.368,y_min=-1.642,y_max=4.581,range_med=1.106
pose_07,idx=134,file=cloud_1782443978368234668.pcd,points=501,x_min=-5.058,x_max=3.404,y_min=-1.632,y_max=4.585,range_med=1.136
pose_07,idx=178,file=cloud_1782443982768293758.pcd,points=502,x_min=-5.072,x_max=3.368,y_min=-1.638,y_max=4.594,range_med=1.125
