pose_id,forward_m,lateral_m,distance_m,bearing_deg,board_yaw_deg,board_normal_deg,lateral_side,frame_margin_px
A01,0.6,0.0,0.6,0,-45,-45,centre,472
A02,0.58,0.155,0.6,15,-30,-15,LEFT,342
A03,0.58,-0.155,0.6,-15,-15,-30,RIGHT,273
A04,0.594,0.084,0.6,8,0,8,LEFT,367
A05,0.752,0.274,0.8,20,15,35,LEFT,268
A06,0.752,-0.274,0.8,-20,30,10,RIGHT,325
A07,0.788,0.139,0.8,10,45,55,LEFT,417
A08,0.788,-0.139,0.8,-10,-45,-55,RIGHT,424
A09,1.0,0.0,1.0,0,-30,-30,centre,537
A10,0.906,0.423,1.0,25,-15,10,LEFT,259
A11,0.906,-0.423,1.0,-25,0,-25,RIGHT,252
A12,0.978,0.208,1.0,12,15,27,LEFT,403
A13,0.978,-0.208,1.0,-12,30,18,RIGHT,439
A14,1.039,0.6,1.2,30,45,75,LEFT,228
A15,1.039,-0.6,1.2,-30,-45,-75,RIGHT,235
A16,1.159,0.311,1.2,15,-30,-15,LEFT,416
A17,1.159,-0.311,1.2,-15,-15,-30,RIGHT,400
A18,1.195,0.105,1.2,5,0,5,LEFT,498
A19,1.5,0.0,1.5,0,15,15,centre,563
A20,1.229,0.86,1.5,35,30,65,LEFT,160
A21,1.229,-0.86,1.5,-35,45,10,RIGHT,203
A22,1.41,0.513,1.5,20,-45,-25,LEFT,392
A23,1.41,-0.513,1.5,-20,-30,-50,RIGHT,373
A24,1.477,0.26,1.5,10,-15,-5,LEFT,473
